pays,year,Y,pond_WIOD_HC,_merge,blouf,mylabel,elast_order,sample
IND,2014,3983527.12113965,.052902095,Matched (3),0,,IND,1
USA,2014,30971023,.053282686,Matched (3),0,USA,USA,1
CHN,2014,31745102.43123617,.059107993,Matched (3),0,CHN,CHN,1
BRA,2014,4103501.783495038,.062211718,Matched (3),0,,BRA,1
ITA_EUR,2014,,.064804293,Using only (2),0,ITA_EUR,ITA_EUR,1
ESP_EUR,2014,,.06531617,Using only (2),0,,ESP_EUR,1
PRT_EUR,2014,,.070518114,Using only (2),0,,PRT_EUR,1
GRC_EUR,2014,,.07335408,Using only (2),0,,GRC_EUR,1
FRA_EUR,2014,,.074377246,Using only (2),0,,FRA_EUR,1
JPN,2014,8668735.69674184,.074943803,Matched (3),0,JPN,JPN,1
AUT_EUR,2014,,.078433022,Using only (2),0,,AUT_EUR,1
AUS,2014,2723737.216686226,.0838615,Matched (3),0,,AUS,1
IDN,2014,1714343.067329214,.084950246,Matched (3),0,,IDN,1
DEU_EUR,2014,,.085186161,Using only (2),0,DEU_EUR,DEU_EUR,1
TUR,2014,1494427.535357214,.089834392,Matched (3),0,,TUR,1
MEX,2014,2130489.338581088,.094611995,Matched (3),0,,MEX,1
FIN_EUR,2014,,.0973408,Using only (2),0,,FIN_EUR,1
ESP,2014,2567905.476000001,.10445943,Matched (3),0,,ESP,0
ITA,2014,4075402.119062482,.10564129,Matched (3),0,ITA,ITA,0
GBR,2014,5283463.351344824,.1173901,Matched (3),0,GBR,GBR,1
GRC,2014,375244.052215509,.12261281,Matched (3),0,,GRC,0
KOR,2014,3403854.395628708,.12280454,Matched (3),0,,KOR,1
FRA,2014,5020134.478322348,.12293574,Matched (3),0,FRA,FRA,0
BEL_EUR,2014,,.1257406,Using only (2),0,,BEL_EUR,1
NLD_EUR,2014,,.12595892,Using only (2),0,,NLD_EUR,1
LVA_EUR,2014,,.12611915,Using only (2),0,,LVA_EUR,1
EST_EUR,2014,,.12805368,Using only (2),0,,EST_EUR,1
CYP_EUR,2014,,.12936825,Using only (2),0,,CYP_EUR,1
DEU,2014,7066740.533000003,.12941778,Matched (3),0,DEU,DEU,0
SVN_EUR,2014,,.12984446,Using only (2),0,,SVN_EUR,1
RUS,2014,3381079.367404901,.13203719,Matched (3),0,,RUS,1
CHE,2014,1398665.135229471,.13253357,Matched (3),0,,CHE,1
CAN,2014,3252175.040212865,.13358873,Matched (3),0,CAN,CAN,1
TWN,2014,1220628.556375131,.14181484,Matched (3),0,,TWN,1
FIN,2014,513657.8824999998,.14280589,Matched (3),0,,FIN,0
LTU_EUR,2014,,.14441769,Using only (2),0,,LTU_EUR,1
DNK,2014,614581.8534309996,.14469805,Matched (3),0,,DNK,1
NOR,2014,835078.9087639998,.14505373,Matched (3),0,,NOR,1
SWE,2014,1018189.467444099,.14523087,Matched (3),0,,SWE,1
LUX_EUR,2014,,.14919685,Using only (2),0,,LUX_EUR,1
ROU,2014,398280.0945681451,.15006782,Matched (3),0,,ROU,1
PRT,2014,414280.8936867876,.15102932,Matched (3),0,,PRT,0
AUT,2014,809630.6776999998,.15780798,Matched (3),0,,AUT,0
SVK_EUR,2014,,.15962675,Using only (2),0,,SVK_EUR,1
POL,2014,1105443.870643937,.16353618,Matched (3),0,,POL,1
MLT_EUR,2014,,.16767229,Using only (2),0,,MLT_EUR,1
ROW,2014,25610236.58662565,.17336504,Matched (3),0,,ROW,1
HRV,2014,97418.58726556647,.1735329,Matched (3),0,,HRV,1
IRL_EUR,2014,,.18041411,Using only (2),0,,IRL_EUR,1
NLD,2014,1671177.2755,.19024083,Matched (3),0,,NLD,0
CZE,2014,492771.782905,.19718209,Matched (3),0,,CZE,1
HUN,2014,284429.54634624,.19980672,Matched (3),0,,HUN,1
BEL,2014,1110756.458700001,.21062669,Matched (3),0,,BEL,0
BGR,2014,122872.5067720562,.21157187,Matched (3),0,,BGR,1
LVA,2014,64725.66287811271,.21197563,Matched (3),0,,LVA,0
CYP,2014,39448.26298375314,.21318172,Matched (3),0,,CYP,0
EST,2014,54483.16923957942,.21625775,Matched (3),0,,EST,0
LTU,2014,85667.78696978123,.22220384,Matched (3),0,,LTU,0
IRL,2014,509477.0930000002,.22517596,Matched (3),0,,IRL,0
SVN,2014,94237.64353214165,.22971468,Matched (3),0,,SVN,0
SVK,2014,229289.13625,.23683858,Matched (3),0,,SVK,0
MLT,2014,28914.92798022975,.28735363,Matched (3),0,,MLT,0
LUX,2014,211968.1905165894,.31716463,Matched (3),0,,LUX,0
